,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/9400251_gerard-schaepstraat,Gerard Schaepstraat 7 - D,1052 GK,1950.0,85,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/7828_johan-huizingalaan,Johan Huizingalaan ,1065 JG,583.0,80,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9401098_parnassusweg,Parnassusweg ,1077 DA,2300.0,95,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9401172_jasonstraat,Jasonstraat ,1076 KW,2100.0,70,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6905_assumburg,Assumburg ,1081 GC,625.0,100,4,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9402138_prinsengracht,Prinsengracht ,1015 NA,1850.0,72,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9396392_burmanstraat,Burmanstraat ,1091 EH,1850.0,60,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2199_kanaalstraat,Kanaalstraat ,1054 XA,1300.0,35,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9390972_nepveustraat,Nepveustraat ,1058 XM,1675.0,69,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8696821_beethovenstraat,Beethovenstraat 44 - I,1077 JJ,3000.0,115,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9537_duivendrechtsekade,Duivendrechtsekade ,1096 AH,575.0,18,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7229351_spaarndammerstraat,Spaarndammerstraat ,1013 SR,1600.0,50,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6149062_bloemstraat,Bloemstraat ,1016 KV,1600.0,52,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8933_heathrowstraat,Heathrowstraat ,1043 CE,850.0,21,1,Gestoffeerd,beschikbaar
