,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/10391344_hemonystraat,Hemonystraat 50 IV,1074 BS,1700.0,43,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:58.283060
https://www.woonnet.nl/huurwoning/amsterdam/8557_john-blankensteinstraat,John Blankensteinstraat ,1095 MB,1025.0,76,1,Gestoffeerd,01-07-2020,2020-06-15 12:23:58.283759
https://www.woonnet.nl/huurwoning/amsterdam/10389690_michelangelostraat,Michelangelostraat 106 I,1077 CG,2350.0,112,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:58.284250
https://www.woonnet.nl/huurwoning/amsterdam/10389831_juliana-van-stolbergstraat,Juliana Van Stolbergstraat ,1055 RG,1400.0,55,2,Gemeubileerd,beschikbaar,2020-06-15 12:23:58.548434
https://www.woonnet.nl/huurwoning/amsterdam/7998_daguerrestraat,Daguerrestraat ,1087 BR,925.0,30,1,Gestoffeerd,01-07-2020,2020-06-15 12:23:58.549193
https://www.woonnet.nl/huurwoning/amsterdam/10389997_plantage-kerklaan,Plantage Kerklaan ,1018 SX,2950.0,150,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:58.871330
https://www.woonnet.nl/huurwoning/amsterdam/4701_mary-van-der-sluisstraat,Mary van der Sluisstraat ,1095 ME,1100.0,44,1,Gestoffeerd,01-07-2020,2020-06-15 12:23:58.872028
https://www.woonnet.nl/huurwoning/amsterdam/10353680_eerste-constantijn-huygensstraat,Eerste Constantijn Huygensstraat ,1054 BN,1600.0,1,99,onbekend,onbekend,2020-06-15 12:23:59.482931
https://www.woonnet.nl/huurwoning/amsterdam/10375252_mercatorstraat,Mercatorstraat ,1056 PW,1500.0,50,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:00.335060
https://www.woonnet.nl/huurwoning/amsterdam/10375303_agamemnonstraat,Agamemnonstraat 39 huis,1076 LR,2000.0,75,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:00.335784
https://www.woonnet.nl/huurwoning/amsterdam/9522902_bilderdijkkade,Bilderdijkkade ,1052 RS,1595.0,1,99,onbekend,onbekend,2020-06-15 12:24:00.712562
https://www.woonnet.nl/huurwoning/amsterdam/10374263_albert-neuhuysstraat,Albert Neuhuysstraat 22 I,1058 SC,1500.0,57,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:00.713309
https://www.woonnet.nl/huurwoning/amsterdam/10374838_lijnbaansgracht,Lijnbaansgracht ,1015 TW,1850.0,65,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:01.327681
https://www.woonnet.nl/huurwoning/amsterdam/3874_raamstraat,Raamstraat ,1016 XL,1500.0,60,2,Gestoffeerd,01-07-2020,2020-06-15 12:24:01.328424
https://www.woonnet.nl/huurwoning/amsterdam/10375139_milovan-djilasplein,Milovan Djilasplein 26,1102 AC,1750.0,105,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:01.941971
https://www.woonnet.nl/huurwoning/amsterdam/10374096_stadionweg,Stadionweg 147 II,1076 NM,1650.0,60,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:01.942685
https://www.woonnet.nl/huurwoning/amsterdam/4183_ijslandtpad,IJslandtpad ,1097 MG,97.0,60,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:01.943383
https://www.woonnet.nl/huurwoning/amsterdam/10373080_alexanderkade,Alexanderkade ,1018 ZC,2000.0,100,3,Beschikbaar per: 2020-07-01,gratis!</span>,2020-06-15 12:24:03.476710
https://www.woonnet.nl/huurwoning/amsterdam/10373113_rokin,Rokin ,1012 KK,1800.0,110,2,Beschikbaar per: 2020-08-01,gratis!</span>,2020-06-15 12:24:04.092329
https://www.woonnet.nl/huurwoning/amsterdam/3595_dr-ja-ringersstraat,Dr. J.A. Ringersstraat ,1067 DG,1080.0,93,2,Gestoffeerd,01-07-2020,2020-06-15 12:24:04.093075
