,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/6769_blankenstraat,Blankenstraat ,1018 RW,1250.0,36,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9408805_ijdoornlaan,Ijdoornlaan ,1121 DS,1499.0,128,3,Kaal,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9404552_winterjanpad,Winterjanpad ,1036 KJ,2000.0,140,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1541_esmoreitstraat,Esmoreitstraat ,1055 SC,1195.0,55,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9405402_albatrospad,Albatrospad ,1021 TR,1850.0,86,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9402834_oude-waal,Oude Waal ,1011 BX,2400.0,100,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9394_meidoornplein,Meidoornplein ,1031 GA,188.0,50,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9400251_gerard-schaepstraat,Gerard Schaepstraat 7 - D,1052 GK,1950.0,85,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9401098_parnassusweg,Parnassusweg ,1077 DA,2300.0,95,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2880_lijnbaansgracht,Lijnbaansgracht ,1017 XC,990.0,33,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9401172_jasonstraat,Jasonstraat ,1076 KW,2100.0,70,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9402138_prinsengracht,Prinsengracht ,1015 NA,1850.0,72,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2937_oltmansstraat,Oltmansstraat ,1064 VP,188.0,45,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9396392_burmanstraat,Burmanstraat ,1091 EH,1850.0,60,1,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9390972_nepveustraat,Nepveustraat ,1058 XM,1675.0,69,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8379_sf-van-ossstraat,S.F. van Ossstraat ,1068 JL,469.0,78,3,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8696821_beethovenstraat,Beethovenstraat 44 - I,1077 JJ,3000.0,115,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7229351_spaarndammerstraat,Spaarndammerstraat ,1013 SR,1600.0,50,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/345_wittgensteinlaan,Wittgensteinlaan ,1062KE &amp;bullet,1.0,94,2,Ongemeubileerd,2020-05-04,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6149062_bloemstraat,Bloemstraat ,1016 KV,1600.0,52,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9356912_gaasterlandstraat,Gaasterlandstraat ,1079 PS,3000.0,120,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4395_duivendrechtsekade,Duivendrechtsekade ,1096 AH,575.0,18,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9357223_kerkstraat,Kerkstraat ,1017 GA,1600.0,45,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9357269_wielingenstraat,Wielingenstraat ,1078 KK,1619.0,75,2,Kaal,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1386_hoogoord,Hoogoord ,1102 CC,650.0,14,1,Gemeubileerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9347266_nieuwe-looiersstraat,Nieuwe Looiersstraat ,1017 VA,1395.0,45,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9340120_haparandaweg,Haparandaweg ,1013 BD,1250.0,30,99,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8538_eerste-laurierdwarsstraat,Eerste Laurierdwarsstraat ,1016 PZ,1200.0,35,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9338137_bijlmerdreef,Bijlmerdreef 823,1103 TA,1400.0,77,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9338284_lijnbaansgracht,Lijnbaansgracht ,1015 TW,2250.0,120,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9546_markengouw,Markengouw ,1024 CZ,188.0,67,3,Gestoffeerd,30-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9336767_bloemgracht,Bloemgracht ,1016 KA,2200.0,90,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9336819_prinsengracht,Prinsengracht ,1015 NA,2500.0,74,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2866_admiraal-de-ruijterweg,Admiraal De Ruijterweg ,1055 MR,613.0,135,4,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9286139_president-kennedylaan,President Kennedylaan ,1079 MB,2500.0,125,3,Gemeubileerd,2020-06-01,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5460217_hendrik-godfroidhof,Hendrik Godfroidhof ,1106 WS,1600.0,80,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3040_sassenheimstraat,Sassenheimstraat ,1059 BL,1300.0,55,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4023142_welnastraat,Welnastraat ,1096 BA,1300.0,31,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9335467_madurastraat,Madurastraat ,1094 GC,1850.0,78,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6811_claus-van-amsbergstraat,Claus van Amsbergstraat ,1102 AZ,850.0,36,1,Gemeubileerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9329725_heringastate,Heringastate ,1082 TP,1400.0,45,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9332372_leeuwendalersweg,Leeuwendalersweg ,1055 JE,1900.0,96,3,Per direct beschikbaar,gratis!</span>,01-04-2020
